sentence,label,pmid
The series reflected on the changes that had taken place in Ireland since the 1960s.,0,978
The story is narrated in flashback.,0,979
Videotape is a fragile medium subject to damage and deterioration from exposure to poor environmental conditions and inadequate handling practices.,1,980
"The man was on his knees, sdiraya neck with the rope and coughing from suffocation.",1,981
He pushed the rivet of the cable strap back into the hole.,0,982
"The club consists of parents, friends, alumni and local businesses.",0,983
The anoxidized servewear went into the dishwasher.,0,984
"In a desperate attempt, the company poured money into the project.",0,985
The perturbations caused by the substorm related field-aligned currents are most notable in the east-west deflections of the geosynchronous magnetic field.,1,986
This durable short sleeve crew neck tee shirt is made of preshrunk cotton to minimize shrinkage after washing.,1,987
Financial stress is one of the main causes of divorce.,1,988
He panics when he sees a blue gremlin on the side of the bus loosening the lug nuts on one of the tires.,0,989
"In the bushes near the door, investigators found a backpack with papers inside.",0,990
They evaluated maximum number of breached assemblies and exposed fuel area for a proposed shipment in a cask with a test leakage rate.,0,991
The criminals that caused the fire illegally entered our country.,1,992
Another device was inserted into another USB port.,0,993
Eight yachts have arrived into the harbor.,0,994
Most musicians have developed a standard of their own for cleaning their instruments.,0,995
The company is moving plant material into Queensland's suburb.,0,996
The bakeries in the supermarket area also reduce the prices on their goods as closing time approaches.,0,997
Honey bees have migrated into warmer areas.,0,998
"Vegetable oil as fuel is a cleaner, safer and less expensive alternative to petroleum based fuel.",0,999
"Convulsions that occur after DTaP are usually not caused directly by the vaccine, but by a fever, which in turn was triggered by the vaccine.",1,1000
Hundreds of tramping feet have pressed the snow into a glacial track.,0,1001
"The inflammation is caused by the growth of unusual bacteria, which usually results from antibiotic use.",1,1002
The president is running into bankruptcy.,0,1003
"The two four-legged chickens were in a box under a heat lamp, a temporary lodging until a more spacious cage was available.",0,1004
The earthquake was caused by the Anatolian plate and the Eurasian plate moving past each other.,1,1005
The bee carries pollen in a pollen basket back to the hive.,0,1006
There is a nest of rabbits up in the loft.,0,1007
Many local shops donated funds to the candidate.,0,1008
"It was also felt necessary at this time to draw up a similar document, dealing not with the prevention of marine pollution by dumping, but instead with the prevention of marine pollution by discharges of dangerous substances from land-based sources, watercourses or pipelines.",1,1009
Williams syndrome: a genetic disorder that results in selective cognitive impairment.,1,1010
A copy of the survey was enclosed in the back-up materials packet.,0,1011
"The cheering and screaming after the victory had hardly died down when Marilyn Kelly proclaimed ""Party at my house!"".",1,1012
The enzyme glutaminase is removed into both nerve terminals and glial cells.,0,1013
"The complex includes a restaurant, shop and the ""Adventure Centre"".",0,1014
The suspect pushed the victim into a deep cliff.,0,1015
An application developer with Adobe said in a blog posting that Adobe is working on the security flaw.,0,1016
This comment refers to the author's reply.,0,1017
Preliminary talks between the association and Nigel Worthington regarding a new contract took place last week and these talks are still ongoing.,0,1018
I have put an empty line into an article.,0,1019
It is set in a future in which the oceans are farmed for food.,0,1020
"In this section, we are going to follow SRR Sandy as she raises a litter of pups.",0,1021
"He scored 10 out of 14, performed below his rating at 2474, but still was the striker of the team.",0,1022
The design of the shape of the can ends moreover has a marked effect on their ability to resist deformation from internal pressure.,1,1023
We began to reverse the damage to one of the greatest rivers in the state caused by the construction of a dam nearly 70 years ago.,1,1024
"In the first year of King Cyrus, the king issued a decree.",0,1025
The disgusting scene was retaliation against her brother Philip who rents the room inside this apartment house on Lombard street.,0,1026
"In the 2006 Robin Hood series, Robin at one point is lowered into a pit of poisonous snakes.",0,1027
You proved that a gas takes up space.,0,1028
"Sci-Fi Channel is the cable network exclusively dedicated to offering classic science fiction TV shows and movies, as well as bold original programming.",0,1029
"Around the globe, unique and fascinating species face extinction from hunting and habitat destruction, which affects vulnerable animals in every kind of environment.",1,1030
"A train ran into a truck, leaving 14 dead.",0,1031
He removed the glass slide precleaned in piranha solution that was placed upright in a beaker.,0,1032
The symbol denotes concatenation.,0,1033
The mother left her native land about the same time and they were married in that city.,0,1034
"In preparing this study, the Pew Forum devised a battery of measures, phrased as questions, to gauge the levels of government and social restrictions on religion in each country.",0,1035
"While the slide was presented, an audio-recorded biographical script was played describing the person.",0,1036
Dust or vapor cause burns or irritation of the eyes with swelling.,1,1037
"But among the heroin addicts especially, there is frequently a very severe depression, and depression is one of the main causes of suicide.",1,1038
"The machine was in a cabinet very similar to the type 'A' machines, and weighed 95 pounds.",0,1039
Amateur video has been posted online that shows some of the devastation caused by the tsunami waves.,1,1040
There were women in headscarves on the corridors of the hospital and men wearing traditional caps.,0,1041
High test scores have placed the student into a top university.,0,1042
The organization has also been the subject of much conspiracy parody.,0,1043
A multiple goal model structure is formulated for a garment factory based on the objectives of the company including minimisation of lateness.,0,1044
The sail had an important roach and had adjustable batten fittings on the leech and luff receptacles.,0,1045
Helicobacter pylori was released cysteamine into the gastric juice.,0,1046
"In other words, the bow of the vessel points at the 'windy' extended edge of the table.",0,1047
"The misinterpretation has been caused by the Italian word for vacuum tubes, which is valvole .",1,1048
We saw that a piece of the double stent was placed inside the urinary bladder of mice to study the extent of tissue reaction.,0,1049
The Etruscan craftsmen marked their wares with ink marks.,0,1050
This thesis defines the clinical characteristics of amyloid disease.,0,1051
A squirrel popped out of a woman's shirt when she was interviewed.,0,1052
Quotation is used to indicate the words of another speaker or writer.,0,1053
The Archers of the Eyes were an elite legion of Elven archers who served troughout various wars.,0,1054
The judge put two questions to the jury.,0,1055
In the course of the discussion it was pointed out that middle-class and lower-class people in the United States also seem to react differently to work.,0,1056
Infinitesimal changes between a large serial of different sub-functions are running into different graphical spaces or dimensions.,0,1057
The loan fees were added into the set interest.,0,1058
The sword was stored in a case full of gold and jewels.,0,1059
The microphone converts sound into an electrical signal.,1,1060
"As the vehicles caught fire after the collision, the transformers began to explode one after the other.",1,1061
Rare crabs have arrived into the historical archives.,0,1062
The author uses symbolism in order to show the importance of some ideals and main themes of the novel.,0,1063
The setup was put inside a chimney in order to enhance the natural convection cooling.,0,1064
These changes have been reflected in the general policies and approach of the Forestry Commission.,0,1065
"Many problems have ensued from the new policy, most of them unforeseen and based on ethnic differences.",1,1066
"He kept collecting those book titles, and sent them to me for our next reading list.",0,1067
The act applies to contracts or agreements among competing manufacturers and distributors.,0,1068
"They raided a house behind Mustapha's residence and seized a cache of arms, weapons and explosives.",0,1069
The tail of the shark continued to swish back and forth a few feet away.,0,1070
Public education systems have carried nations into prosperity.,0,1071
"Dehydration from fluid loss is the only major problem the virus causes, most often in the elderly.",1,1072
We have dumped the spam into the junk folder.,0,1073
The cost of fuel delivered in a vessel bunker is always high.,0,1074
I worked as a crane operator in construction at that time.,0,1075
"The first bomb to explode in the main northwest city of Peshawar on Saturday was hidden in a car and devastated a street busy with traffic, shoppers and worshippers heading to mosques to pray.",0,1076
My mint julep was in a glass I still own.,0,1077
Investments have gone into the light rail.,0,1078
"Of the three institutions using a thesaurus as a tool for managing indexing vocabulary, one stated that the material covered was of a general nature.",0,1079
Asthma causes swelling and narrowing of the airways.,1,1080
Billions of euro are invested into nanotechnology in Europe.,0,1081
"For example, driving recklessly and causing an auto accident that result in the death of another driver or passenger could be qualified as manslaughter.",1,1082
The Chaplain noticed one soldier looking at a a deck of cards.,0,1083
He was distressed and smeared in dust and held a bottle full of blood in his hands.,0,1084
"The wooden rod is attached to the arm of the chair, which on my chair has an L-shaped opening  under the armrest.",0,1085
Monica Mullikin  is working for Willis of Minneapolis as a catastrophe risk analyst for this reinsurance company.,0,1086
The shells landed into different areas in Mogadishu.,0,1087
The House has postponed the vote to tomorrow.,0,1088
"Sun and wind cause evaporation of water, causing rains, and this energy can be caught using hydroelectric power.",1,1089
Many people gamble away their rent and grocery money just to take a chance on a leash of greyhounds chasing a mechanical rabbit.,0,1090
Entering a community of minds is conceptualized as a theoretical framework for understanding social cognitive development during the preschool years.,0,1091
I have removed the bubbles into the glass tubes.,0,1092
"Mr. Lagano was engrossed in a search for cherrystone and quahog clams, which he deposited proudly in a bucket beside him.",0,1093
"A careless attendant had hooked the padlock of the monkey cage in the staple, but had not locked it.",0,1094
Congregational clergy of various denominations were surveyed to assess their understanding and experience of trauma.,0,1095
A drove of oxen was taken to market.,0,1096
The mouse was enclosed in a prison with no hope of escape.,0,1097
He sent his love a letter with confetti hearts inside of the letter so they pour out everywhere when his sweetheart opens it.,0,1098
"The faded glamour of American roadside diners, cinemas and motels is the subject of a new photography exhibition at the Fox Talbot Museum.",0,1099
The focus of the chapter is the impact of diversification on the performance of PE funds.,0,1100
The bomb was in a suitcase loaded in Frankfurt and transferred to the doomed Boeing 747 in London.,0,1101
In my case the solution was to lock the padlock on the security pane itself.,0,1102
She poured flour into a pretend dragon with a tube.,0,1103
"These people have journeyed into a mountain that is over 2,000 m high.",0,1104
We have imported grain into developing countries in Asia several times.,0,1105
A lovely bauble homepage sticker has arrived into your homepage inventory.,0,1106
A German soldier attaches a EUFOR sign to a vehicle.,0,1107
The matter inside a supermassive black hole is not as dense as inside a stellar-sized black hole.,0,1108
A digital photo frame  is a picture frame that displays digital photos without the need to print them or use a computer.,0,1109
"I won't tell you how much music means now, in these times, when you are battling depression from unemployment.",1,1110
"So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels, the steam is produced by the heat collected from sunlight.",1,1111
"And the beer was in a mug, and full to the brim.",0,1112
This bug flew into my garage.,0,1113
Some charts are specific to a particular musical genre and most to a particular geographical location.,0,1114
The inspiration for the multi-touch technology came from a decidedly non-digital event.,1,1115
"Comprehensive notes survey the current state of the law, raise questions for class discussion, and address the continuing controversies in this field.",0,1116
"He founded the Emmaus Program, an annual convocation of diocesan clergy for their continuing education and spiritual formation, in 1983.",0,1117
Apricot marmalade is delicious on toast first thing in the morning or on piping hot dinner biscuits.,0,1118
For a few more years the surplus is generated by the excess of Social Security tax revenue over benefits paid to today's elderly and disabled.,1,1119
This fish lives in shoal of 150 to 900.,0,1120
The December 26th tsunami disaster is an example of a tsunami which was triggered by an earthquake.,1,1121
Part of the problem is rooted in an ill-conceived state law.,1,1122
The film also features documentary like segments about fishing and about the evacuation after the eruption of the volcano.,1,1123
"Discomfort from braces is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears.",1,1124
BBC radio documentary spoke about an increase in the cases of black anorexic women in South Africa.,0,1125
"The tongue has taste buds, but a cat's appetite comes from the smell of the food and doesn't come from the taste of it.",1,1126
Condoleezza Rice speaks amid a crowd of torture protesters.,0,1127
A letter was delivered to my office in the morning.,0,1128
It is a dark song reflecting on potential love with deep electronic tones and soft beats.,0,1129
The march's goal is to raise awareness of the crisis caused by the Israeli blockade and bring much needed humanitarian relief.,1,1130
That's more or less how the book's author is viewing the situation.,0,1131
"Polar bears and hippos have joined the ranks of species threatened with extinction from climate change, unregulated hunting and other dangers created by humans.",1,1132
Real shepherds use trebuchets.,0,1133
Pilot information needs were investigated in a web-based survey.,0,1134
"In a conventional, steam turbine-only power plant, the heat required to produce the steam comes from a boiler.",1,1135
The first scene shows a meeting between Axel and a tramp in the street at night-time.,0,1136
"In the second line, behind Marshal Soult, was first the division of united grenadiers, and on their left were the two divisions of Marshal Bernadotte.",0,1137
The humiliation comes from authorities and people making him loose faith in humanity.,1,1138
"But a confederacy of different republics has, in many instances, existed and flourished for a long time together.",0,1139
"He has been a jury member at four Olympic Games, and Chairman in 2004 and 2008.",0,1140
His poetry and fiction have been published in literary magazines around the world.,0,1141
Everyone cheers as a dule of white doves take flight.,0,1142
Three houses are handed over to beneficiaries.,0,1143
Amtrak expects a normal rush hour after a fatal accident near Baltimore caused delays along the Northeast corridor.,1,1144
"The strategy covers the period to 2016, with a strong focus on 2010.",0,1145
The hotel released effluent into the lake.,0,1146
The eleventh chapter is devoted entirely to architecture.,0,1147
The light combustibles are dropped in to a bunker as the combustible fuel for use in the steam boiler for generation of steam.,0,1148
Clasp the big toe of the right foot with the first finger of both hands.,0,1149
"She frowned as she glanced around at the huddle of hens, now in a tight pact gathered near Azul.",0,1150
"In Sri Lanka, the tsunami resulted in 31187 deaths, 4280 missing people, 23189 injured people, and the displacement of 545715 people.",1,1151
In the end the most important factor is how the electrician's tool belt fits.,0,1152
The leukocytes migrated into the body tissues to take up a permanent residence at that location rather than remaining in the blood.,0,1153
The Titan heats the dermis to cause collagen contraction while ensuring preservation the epidermis through continuous cooling.,1,1154
"However, in general the theory languished until 1984 when an international meeting was organized in Kona, Hawaii, about the origin of the moon.",0,1155
"The direct catastrophe caused by the earthquake was estimated at 10.2 billion euro, clearly justifying European intervention.",1,1156
This usage is uncommon among players of the instrument.,0,1157
He grabed one end of the broom stick as they grab the other end.,0,1158
Up to 85% of viruses that cause respiratory illness are identified by the technology.,1,1159
A moat keeps the enemy at bay.,0,1160
The key was in a chest.,0,1161
A city takes a stand against gang violence.,0,1162
"The increase in customers, though, caused a strain on the company servers.",1,1163
The dialect spoken in the South Karelian Region of Finland is part of the South Eastern dialects of the Finnish language.,0,1164
The bears have gone into hibernation.,0,1165
"While the curved shape resembles the gentle undulation of sand dunes, two raised starfish accent the border.",0,1166
"The driver was trapped inside the car, which landed upside down, and died while emergency crews were preparing to transport him to a local hospital.",0,1167
"The annual residence league of various sport codes, the Mini Olympics held during the September break has proven very popular amongst our students.",0,1168
"The largest breeding rookery of grey seals is on the Monach Isles, west of Benbecula.",0,1169
"On the one hand, a small notorious set of bacteria, fungi, parasites, protozoa, and viruses cause disease, as discussed in the two units of the book.",1,1170
Neuralgia  is the most common cause of chronic sinusitis headache.,1,1171
Beauty had scarcely uttered these words when the castle radiated with light.,1,1172
"The craftsman bought his own iron, finished his hinge Ls, packed them, and conveyed them to the warehouse of the factor in the large town.",0,1173
This site is part of Newsquest's audited local newspaper network.,0,1174
"Furthermore, the substrate doping density at which impact ionization causes avalanche breakdown at the trench capacitor junction has been estimated.",1,1175
Each question requires a text note to explain the rating.,0,1176
"P6 stimulation for PONV is a convincing case for the efficacy of acupuncture; to that were later added nausea from chemotherapy or pregnancy, and dental pain.",1,1177
"When a watch of nightingales is at the height of breeding season, the males serenade their prospective brides with one of the most glorious and celebrated bird songs there is.",0,1178
The lava has been blown into great bubbles.,0,1179
The magazine was founded in order to keep athletes serving as soldiers informed about their sport back home.,0,1180
A case of craniopharyngioma originating in the sphenoid bone is presented.,0,1181
A normal beer is 8 zlots  and a beer with raspberry syrup is 9 zlots.,0,1182
The tape recorder was in a cabinet outside the cab of the engine.,0,1183
"The high temperature caused a decomposition reaction, increased the inner pressure of the reactor, and resulted in a rupture.",1,1184
"The decline in populations has been caused by the influx of industrial and resident waste water, sludge sedimentation, and land reclamation.",1,1185
"The local citizens farmed for a living, raising a variety of crops including peanuts, cotton, hay, sorghum, and a variety of truck crops.",0,1186
"More than thirty people lost their lives in June, in the disaster caused by torrential rains in Hiroshima Prefecture, and in September more than thirty people lost their lives in the damage caused by the typhoon that swept through various regions, centering on Kumamoto Prefecture.",1,1187
There is a rise in erratic behavior from substance abuse and frustration caused by long waits for hospital treatment.,1,1188
At 5:30am my son was right behind the officer who battered the door down with a huge steel ram.,0,1189
Merlin Lindeman  then pooled their expertise to show that the caterpillars caused the disease.,1,1190
It was in this background that the brigade of the guards was raised in 1949.,0,1191
The company has run into a financial problem over the last few years.,0,1192
The committee is approaching the final decision.,0,1193
I've been to Ireland several times and once while in a pub in Galway City I noticed people ording pints with blackcurrent syrup in them.,0,1194
"The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation.",1,1195
"Cyber squatter- A person who buys domain names, and holds them with the intent of making a profit from the selling of the domain name.",1,1196
The Air is blown into the mouthpiece.,0,1197
"At its height, the Whiskey Rebellion involved thousands of Pennsylvania farmers being taxed on rye liquor, their chief export.",0,1198
The user-friendly control device is mounted on the handgrip of the wheelchair.,0,1199
"In one case, the waterjet caused a large gouge on the bottom side of a a copper/ wood/copper piece.",1,1200
Talks have moved into a new topic.,0,1201
The second router was in a box under the overhang of the bathrooms at the top part of the map.,0,1202
The US troops are going into a mountain area in Pakistan.,0,1203
"Government revenues are drained into expensive welfare programs such as health care, pensions.",0,1204
A solar calendar is a calendar whose dates indicate the position of the earth on its revolution around the sun.,0,1205
We sent a query to two servers at a time.,0,1206
"The book relates epic battles between horses, wolves and the sheep herders and pasture dwellers.",0,1207
"Fetal alcohol spectrum disorders, or FASDs, are caused by drinking alcohol during pregnancy.",1,1208
A mechanic tightens the bolt with a spanner 0.25 m long.,0,1209
Bertolli takes pages and pages of text to explain the significance of flours.,0,1210
Almond butter is available in many natural and whole food stores.,0,1211
Cells damaged or killed by flu result in the production of interferon which is one of the most potent causes of fever.,1,1212
The company uses a policy assertion to convey a condition under which they offer a Web service.,0,1213
"These centres, along with appropriate educational and psychosocial interventions, helped children overcome the trauma and stress caused by the earthquake.",1,1214
The merger is running into some opposition.,0,1215
She got rid of the ants in the kitchen without using dangerous pesticides.,0,1216
The first workers' committee was formed in Yamit factory.,0,1217
Convulsions that occur after DTaP are caused by a fever.,1,1218
Tom plans to continue to live the country life as he grows older.,0,1219
The handwritten note was inside a plastic baggy.,0,1220
The demolition was the cause of terror and communal divide is just a way of not letting truth prevail.,1,1221
"The Order of Friars Minor Capuchin  is an order of friars in the Roman Catholic Church, the chief and only permanent offshoot of the Franciscans.",0,1222
He was wearing a short sleeve shirt with a tie.,0,1223
"Todd was quite as much on a level with his compeers of the profession, in that country, as was Marmaduke with his brethren on the bench.",0,1224
I've been asking for a fizzy milk drink for a while.,0,1225
"Cali, Colombia, for their series of articles on the emergency caused by a landslide on the highway leading to the coast.",1,1226
"In Australia, fifty cent coins have been put into circulation.",0,1227
"The fluctuations are caused by state and federal taxes, distance from refineries to filling stations and environmental laws.",1,1228
"The broadsword was used in some units, particularly Scottish regiments.",0,1229
"A few crappie on Tuesday  were found among flooded willow trees, presumably feeding on the recent hatch of mayflies  that occurred on Sunday and Monday.",0,1230
"This picture frame fits photographs measuring 9 x 13 cm, 3.5 x 5 inches.",0,1231
Conditions at Nottingham prison have been criticised in a new report.,0,1232
The cells migrated into both upper layers.,0,1233
It is also when a parent manipulates a child.,0,1234
A Japanese ferry ran into a whale.,0,1235
Get on board before the train leaves the station.,0,1236
A wisp of snipes utter their well known cry and scud over the heath; one of these is secured.,0,1237
Outbreaks caused by the oral vaccine's live virus have happened before.,1,1238
"The optical signal is generated by an externally modulated tunable laser, and introduced to the chip through a tapered fiber.",1,1239
The weekend snow storm caused cancellation of the Tornadoes' scheduled league game.,1,1240
"The propaganda machine tells us about these tin-pot dictators, which are the greatest threat to the world.",0,1241
"The NRC, RSO, and the First Bank representative accessed the vault with the key.",0,1242
The current was quite strong and I was having difficulty swimming over to the daggerboard of the boat which was now sticking out of the water.,0,1243
"Instead, the success of the revolution is the reason for the celebration.",1,1244
The arrows act as avatars of the students.,0,1245
"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach.",0,1246
Our ancestors have added high protein into their diet.,0,1247
"Following a decision made by the Typhoon Committee in cooperation with United Nations agencies and the League of Red Crescent Societies, ESCAP compiles every year region-wide statistics and reports on the harm caused by tropical cyclones, floods, droughts and other severe weather events.",1,1248
"The documents define policies, procedures, training, and auditing.",0,1249
The goal of the experimental course was to introduce students to computer programming.,0,1250
"Infectious diseases or communicable diseases are caused by bacteria, viruses, and parasites.",1,1251
But by far the most frequent tsunami-maker is the buckling of the seafloor caused by an undersea earthquake.,1,1252
"Unemployment, debt and poverty cause enormous stress.",1,1253
Climate change talks have been moving into overtime.,0,1254
The association keeps teachers informed about current developments.,0,1255
Learning to change your vehicle's engine oil saves you time and money.,0,1256
"Many different bacteria, protozoa and viruses cause food poisoning, but most cases are the result of just a few species of bacteria.",1,1257
"This smile, a true reflection of God's tenderness, is the source of an invincible hope.",1,1258
The reactor meltdown caused a chain reaction that destroyed all the towers in the network.,1,1259
Relationships between humans of different races have been depicted in more modern series.,0,1260
"The main cell types are fibroblasts, macrophages and adipocytes .",0,1261
The output noise was caused by the biasing resistors and the shot noises of the base currents of Q1 and Q4.,1,1262
The judgment was reported in local newspapers on Saturday.,0,1263
The dust from the extinguishers set off the alarm.,1,1264
The yellow discolouration has been caused by the damaging acidic properties of the low-grade mount used in the original frame.,1,1265
"In the story a mob surrounds a woman to stone her for adultery, and ask Jesus what they should do.",0,1266
"However, there are many universal humanitarian laws applying to war.",0,1267
They include sending e-mails to remind customers about abandoned items.,0,1268
Birth defects are caused by drugs that the persons have been exposed to before birth.,1,1269
"In the footwear department of the store, socks and other accessories needed to be displayed in an area close to the shoes, boots and sandals, yet also be unobtrusive.",0,1270
The goose was released into the wild.,0,1271
"The Police has beaten him up, poured water into his ears and nose, and stuffed a shoe in his mouth.",0,1272
The dips are caused by the thermal diffuse of y-rays which is reflected secondarily by the net planes in the same crystal.,1,1273
Many viral infections that cause rash resolve within several days and require no medication.,1,1274
Leah Day attached quilt binding to the back of a quilt using a sewing machine.,0,1275
"The bible was in a trunk that was sent to Fort Worth, Texas.",0,1276
The cheddar cheese in the pie crust of this apple pie is a stroke of genius.,0,1277
You counted almost thirty-three honorable punches and kicks thrown in this clip of little kid screaming after the terrible fight.,1,1278
"Jackson wasn't to be outdone and was rewarded with a leap of three leopards, which he watched with his guests for an amazing five hours.",0,1279
"That night, at dinnertime, the prime mover eats the philosophical pickle with a hamburger.",0,1280
A user activates the device with the power-on button.,0,1281
James P. Gorman greeted his employees on Tuesday with a memorandum that outlined the management changes at the firm.,0,1282
"Vegetable stew is a delicious, low calorie and healthy meal to enjoy on a cold winter night.",0,1283
The major population constitutes of farmers and agriculture related business men and merchants.,0,1284
Brownie girl scout vest is the best part of the uniform.,0,1285
Insert the oyster knife in the hinge of the oyster .,0,1286
The banded racer needs advice on accommodation.,0,1287
It's the quality inside a fertilizer bag.,0,1288
"Only I had a key to that door, the door was unlocked earlier, the key was locked in a safe and only I had access to the key.",0,1289
China's feed industry has entered into its mature period.,0,1290
"Both praise and blame cause concern, for they bring people hope and fear.",1,1291
"However in addition to Maori, other population groups need specific recognition in the Bill, including people with disabilities.",0,1292
"The experiments indicated that the insulin content of the pancreas of the normal rabbit averaged one-half unit of ""Lilly"" insulin.",0,1293
She soon had a stable of her own rescued hounds.,0,1294
Broken bones  in the foot are very common.,0,1295
The goods have been delivered to the buyer.,0,1296
The substance is injected into the damaged area.,0,1297
A dehydrator is best for the drying of high moisture herbs.,0,1298
We built this city on rock and roll.,0,1299
An object has been placed into orbit.,0,1300
While Jackson was in the White House he kept a stable of race horses -- perhaps the only president of the United States ever to run a racing stable.,0,1301
It presents some questions connected to these cases.,0,1302
"Smoke from wood fires in Tutbury Castle in Nottingham was considered unendurable by Eleanor of Aquitaine, wife of Henry II, causing her to move out in 1157.",1,1303
The injured children were handed over to their relatives in Mannaar.,0,1304
Swine flu is one of the leading causes of respiratory disease in swine throughout the world.,1,1305
The tiller of the stonebow is curved downward between the latch and the prod.,0,1306
A congregation of plovers is nesting in the field behind the church.,0,1307
The body was in a trunk of a vehicle.,0,1308
"Panna Cotta was average, except for the plum syrup was a bit overpowering.",0,1309
My eyes have seen the defeat of my adversaries; my ears have heard the rout of my wicked foes.,0,1310
The acoustic test is where we put the spacecraft in a sound chamber and blast it with over 140 decibels of noise for at least a full minute to simulate what it is going to experience during the launch.,0,1311
A copy was sent to your e-mail address.,0,1312
"In addition, the CPU bus of the non-safety controller is connected to each safety unit of the safety controller.",0,1313
One win and we've suddenly got a squad of world beaters.,0,1314
A train ran into a cattle on the railroad.,0,1315
I bought him his meds and cut his foot nails first before we headed to the hospital.,0,1316
A clip describing the bakery's investment in people as well as machines has been presented.,0,1317
The plane was in a crate and the put on a Flatbed truck and taken to the SAR Hangar.,0,1318
"The book asserts the intrinsic relationship between psychotherapy, human rights and politics.",0,1319
The memory is stored in the same neurons that responded to the odor.,0,1320
"The second sentence tells us about heart disease, which is an illness of late middle age and old age.",0,1321
People now post their opinions to this blog.,0,1322
The drugs were in a box.,0,1323
Most people are familiar with feelings of anxiety.,0,1324
"In his speech, he related his trishaw journey experience to the residents who kept giving him loud applause.",0,1325
The oculomotor nerve rests in a cistern within the sinus roof.,0,1326
The birthmarks are caused by expansions  in tiny blood vessels called capillaries.,1,1327
Mothers were the single largest group to donate their kidneys.,0,1328
"Just before serving, the olive oil was poured into the salad.",0,1329
2 deposits have been put into my account.,0,1330
The foundry's main business is the manufacture of church bells and their fittings and accessories.,0,1331
The paper includes both an essay surveying the literature and a descriptor-indexed bibliography of over 200 papers and books.,0,1332
It showed a photo of it being enclosed in a black plastic case and the disc was enclosed in paper.,0,1333
The dancing duo caused a stir on the 2008 series of the show with their infusion of classic Michael Jackson songs and dance moves mixed with bangra.,1,1334
"It is okay to have a bale of turtles for pets, but they must be free of salmonella bacteria.",0,1335
Background music is added into slideshows.,0,1336
The instructions were concerning funds for benevolent purposes.,0,1337
Auto ads during this period tended to feature the beauty and engineering strength of the vehicle.,0,1338
The pure lotus flower blooms out of the muddy pond.,0,1339
Two nuclei have migrated into the conjugation tube.,0,1340
"She wears a brace for her left ankle, has restricted use of her left hand, still has vision problems and continues with therapy.",0,1341
The editor improved the manuscript with his changes.,0,1342
Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.,0,1343
I finished my little 30s puff sleeve blouse last night/early this morning.,0,1344
The freshness of ale in a carton is the limiting factor.,0,1345
"The Police has beaten him up, poured water into his ears and nose, and stuffed a shoe in his mouth.",0,1346
The deeper currents are caused by heat from the sun.,1,1347
"Just before dark, we saw a big gobbler strutting on the edge of the field with a harem of hens.",0,1348
The concepts of psychoanalysis have been applied to films in various ways.,0,1349
"It took a long time to undo the damage that has been caused by the crisis of confidence, damage whose effects are just now beginning to make themselves felt in a slow, glacial collapse.",1,1350
"In the framework of a holistic approach to student development and support, Student Services are also the contact point for other functions such as student out-of-class involvement, student participation in the university governance as well as in the Student Union.",0,1351
He has a tattoo on his right arm and scars from stitches on his right elbow.,1,1352
The particles were dropped into the clouds before the storm occurred.,0,1353
The sugar factory in Ipswich was built in 1925.,0,1354
"During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash.",1,1355
Billions flow into unit trust-linked products.,0,1356
Only the session identifier is stored in a cookie whether database is used or not.,0,1357
Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage.,1,1358
The castle was inside a museum.,0,1359
"The bacteria is the cause of pneumonia, including common uses, side effects, interactions and risks.",1,1360
This is a deadline driven industry.,0,1361
A pod of sperm whales was beached on Italy's southern coast and at least five died in what experts said was a rare and puzzling mass beaching for such a large species.,0,1362
"There are bedrooms, dining rooms and sitting rooms in the cottage.",0,1363
We used the scope to leisurely study the kaleidoscope of whirling and nectaring butterflies.,0,1364
I love the imperial logo at the end of the tank canons.,0,1365
Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus.,1,1366
The Queen has expressed her shock at the devastation caused by the flooding.,1,1367
Uncooked steak is placed on the top shelf of the refrigerator and uncovered roast chicken on the bottom shelf.,0,1368
"Moreover, the knightly ethic was based on a sense of honour and reflected the ideal of a comradeship of arms.",0,1369
The gaps in the rings are caused by resonance between the particles in the rings and the moons orbiting nearby.,1,1370
The company invested a million into a new product for potential profit.,0,1371
The message was inside a box of Post Toasties.,0,1372
It has taken time and effort to get the metal out of the ground.,0,1373
They opened the text file and dumped the text into the text box.,0,1374
The anthrax was in a suitcase that the Egyptian was supposed to deliver to someone in Canada.,0,1375
The famous actress arrived at the airport.,0,1376
The team prepared GIS precipitation and contour maps of the area  depicting the landforms and identifying the flooding and landslides caused by the rainfall.,1,1377
People walk past a poster advertising a luxury fashion brand on a main street in Shanghai.,0,1378
"This document looks at the diversity of arts and creativity in rural England, and the key role that the arts play in rural regeneration.",0,1379
These coins are enclosed in a clear hard plastic case with a blue background that is packaged in a blue box.,0,1380
The artist's development toolkit is one of a series of interactive artist's tookits.,0,1381
